Player ID,GameOutcome,Game,TeamSlayerSkillLevel,MaxSkillLevel,Treatment,Positive,Negative,Neutral,Kills,Deaths,TreatmentKills,TreatmentDeaths,TreatmentTSSkill,TreatmentMaxSkill,Sexism
3,Won,F062809F,13,15,Female,2,2,1,16,8,7,3,25,25,No
4,Won,M062009B,3,8,Male,2,0,2,12,7,13,8,4,4,No
5,Won,M063009D,14,19,Male,5,2,3,13,9,15,12,18,18,No
6,Lost,F062809I,27,43,Female,0,1,3,11,11,10,21,26,26,No
7,Won,M062909G,11,12,Male,3,0,1,12,5,24,6,16,18,No
8,Lost,F062609F,23,24,Female,0,1,0,9,13,22,10,21,21,No
9,Won,M063009B,18,33,Male,3,0,2,9,11,22,4,17,18,No
11,Won,F062809J,27,41,Female,5,0,0,24,12,10,16,25,26,No
12,Won,F062609A,20,21,Female,3,3,7,8,7,18,3,20,19,No
13,Lost,F061809L,17,24,Female,1,2,0,6,16,7,19,14,15,No
15,Won,M062909F,10,32,Male,4,2,0,7,5,24,6,16,18,No
16,Won,F062809L,28,41,Female,2,0,4,17,12,16,14,25,26,No
17,Won,M062109B,6,,Male,6,1,0,17,12,10,9,5,5,No
18,Lost,F061809F,18,30,Female,2,0,0,10,13,10,9,14,14,No
19,Won,M063009G,20,22,Male,12,2,6,10,15,14,6,20,20,No
21,Won,F062709D,6,6,Female,1,4,4,13,5,21,11,22,22,No
24,Lost,M062009D,5,7,Male,1,0,3,20,,12,,4,5,No
25,Lost,M063009H,21,35,Male,1,3,2,14,13,10,12,21,21,No
26,Won,M031109C,4,21,Male,2,2,3,4,,18,,1,1,No
27,Won,F062609D,20,23,Female,0,6,0,12,17,9,7,20,20,Yes
28,Won,F061709J,9,,Female,3,2,3,8,14,22,5,11,11,Yes
29,Won,M070109D,20,35,Male,8,1,3,5,15,20,17,20,22,No
30,Lost,F061709K,13,13,Female,2,25,1,12,12,10,10,12,12,Yes
31,Won,M070109L,22,36,Male,1,0,0,12,8,17,7,23,23,No
32,Won,M062809I,18,18,Male,1,1,2,23,7,9,12,17,17,No
35,Won,F062809C,22,24,Female,2,0,0,0,5,27,1,23,23,No
36,Lost,M062009F,4,7,Male,3,8,0,8,13,16,8,5,5,No
37,Lost,F062809I,28,30,Female,2,0,0,3,4,10,21,26,26,No
39,Lost,F062709B,22,23,Female,0,0,1,13,16,14,10,22,22,No
40,Won,F061709E,10,,Female,6,6,1,2,,3,,10,10,No
41,Won,F040509C,5,5,Female,4,9,5,4,10,23,3,6,6,No
42,Won,F022809A,2,4,Female,14,6,8,13,,0,,1,1,No
43,Lost,F022809F,3,5,Female,0,3,0,5,16,1,14,4,4,No
44,Won,M062709G,8,13,Male,2,1,2,17,7,19,10,10,10,No
45,Lost,F061809L,18,18,Female,0,1,0,24,15,7,19,14,15,No
47,Won,F062709D,27,27,Female,2,7,4,4,14,21,11,22,22,Yes
48,Won,F062709G,25,26,Female,7,0,0,13,7,10,10,23,23,No
